achieved_output_tps,cell_id,characterization_sha256,code_commit,completion_rate,config_sha256,failed,finished,itl_p50_ms,itl_p99_ms,kv_imbalance_max,kv_imbalance_mean,kv_imbalance_p99,kv_utilization_max,kv_utilization_mean,kv_utilization_p99,load_multiplier,offered_output_tps,offered_rps,oldest_waiting_age_max,oldest_waiting_age_mean,oldest_waiting_age_p99,phase,prefix_matched_blocks,queue_imbalance_max,queue_imbalance_mean,queue_imbalance_p99,raw_token_count_check,rejected,requests_by_replica_0,requests_by_replica_1,router,runner_sha256,seed,slo_goodput_rps,submitted,system_queue_length_max,system_queue_length_mean,system_queue_length_p99,trace_sha256,ttft_p50_ms,ttft_p99_ms,unfinished,waiting_queue_length_max,waiting_queue_length_mean,waiting_queue_length_p99
86.4,load0.75_seed3_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,80594d988be2848e14cb650d0f3ca83b8418ea0ced3511e3647b5894e995abf4,0,72,45.953746885061264,668.6369383334968,0.625,0.16835260115606937,0.625,1.0,0.8345375722543352,1.0,0.75,86.4,3.5999999999999996,0,0,0,P0-1,20,3,0.9219653179190751,3,1728,0,31,41,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,3,1.95,72,9,4.51878612716763,8,fc8fc6fe409c0d36bd1d1594cbd818fb8c9192c429ff85ea9c64afc6d6c26262,819.587349684701,3284.6455705703947,0,7,2.1257225433526012,5
115.2,load1_seed1_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,d9f07aa603f59686439ac77c083a0b4d8fcd3ddb5fede29fab62c54c2126fac2,0,96,43.24545990675688,559.0518402866937,1.0,0.28918269230769234,1.0,1.0,0.7570913461538461,1.0,1.0,115.2,4.8,0,0,0,P0-1,30,12,6.3076923076923075,11,2304,0,48,48,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,2.4,96,17,7.040384615384616,16,73bb6efdf358d952ed838fc2b1d1eb34de85b3dbbce16ef41faeb29b4066fb9a,1685.8968238035836,5597.237178931632,0,14,4.917307692307692,13
115.2,load1_seed1_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,7bdbaa67182070b5fa94fead44514e5524def983fd4971eecc0b70eb3bb96e48,0,96,54.16364409029484,4895.380400866256,1.0,0.17042889390519186,0.875,1.0,0.8448081264108352,1.0,1.0,115.2,4.8,0,0,0,P0-1,24,7,1.7313769751693002,6,2304,0,46,50,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,1.05,96,21,12.70316027088036,20,73bb6efdf358d952ed838fc2b1d1eb34de85b3dbbce16ef41faeb29b4066fb9a,5836.967821543415,8854.906154951701,0,19,10.211060948081265,18
115.2,load1_seed2_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,02419f714faf3777733eb3c1e0629e81670d146a18590a7d0cfe2fc4ea9c296a,0,96,47.417376190423965,2669.3905030377186,1.0,0.29769736842105265,1.0,1.0,0.7475328947368421,1.0,1.0,115.2,4.8,0,0,0,P0-1,30,15,8.233082706766917,14,2304,0,48,48,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,1.65,96,21,9.855263157894736,20,20475166f14c09ea44847e160d446a441deaf76bc95491c33b46d0650de17b0e,2816.7304514596854,7070.173398467401,0,18,7.780075187969925,18
115.2,load1_seed2_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,f170fc619095e9914e18c6eb0077a61ac7575b411b4ea31adf28fbedff51584a,0,96,38.4256225079298,567.3947209492322,1.0,0.20401982378854625,0.875,1.0,0.8335627753303965,1.0,1.0,115.2,4.8,0,0,0,P0-1,26,6,1.9537444933920705,6,2304,0,46,50,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,2.6,96,13,7.3050660792951545,12,20475166f14c09ea44847e160d446a441deaf76bc95491c33b46d0650de17b0e,2201.3145073627425,3553.607430309058,0,11,4.8733480176211454,10
115.2,load1_seed3_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,67556fddbfcfd1d9b4f49a543cce9f380d5d837f0d3ff175b083ab01588fef64,0,96,51.89976654946804,4211.0342317260765,1.0,0.33476491862567814,1.0,1.0,0.7073915009041591,1.0,1.0,115.2,4.8,0,0,0,P0-1,27,18,7.38878842676311,18,2304,0,48,48,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,3,1.25,96,29,10.488245931283906,28,bf4320c5f52f15e71837a88ecd2102e7f481ffdd7dc82d94c92c649c96a235ed,4317.781609793504,9339.049099509914,0,27,8.491862567811935,25
115.2,load1_seed3_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,ceb1064df74ca3483d017b3aa004ab873b619d1e38f38d85c47e39424fbba233,0,96,57.28849768638611,2883.778392430366,1.0,0.3171157684630739,1.0,1.0,0.7596057884231537,1.0,1.0,115.2,4.8,0,0,0,P0-1,23,13,4.826347305389222,13,2304,0,44,52,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,3,0.85,96,23,11.580838323353293,23,bf4320c5f52f15e71837a88ecd2102e7f481ffdd7dc82d94c92c649c96a235ed,5687.947471005221,8274.206576372184,0,22,9.377245508982035,21
144.0,load1.25_seed1_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,0cb3c91500ed27cdc368726207d96216e55dfc63503901d61817d6081437768f,0,120,52.06906609237194,4847.19548976048,1.0,0.31203288490284004,1.0,1.0,0.7365470852017937,1.0,1.25,144.0,6.0,0,0,0,P0-1,36,19,9.884902840059791,18,2880,0,60,60,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,1.2,120,36,16.081464872944693,36,87334f55c9db6b9cf7a1e9d21f1d1b3ab032377aafb2b59062adde03ec8c8b83,6087.944219509761,17142.85656606158,0,34,14.018684603886397,34
144.0,load1.25_seed1_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,ad72271cd8a2def82fb56bc779429fc2c82041b976220e3a5f39d52f42626a2e,0,120,43.09115279465914,5119.762169513835,0.625,0.15265679442508712,0.5,1.0,0.8315548780487805,1.0,1.25,144.0,6.0,0,0,0,P0-1,35,11,2.8344947735191637,10,2880,0,56,64,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,1.1,120,27,15.699477351916377,26,87334f55c9db6b9cf7a1e9d21f1d1b3ab032377aafb2b59062adde03ec8c8b83,5172.628760958711,7662.0695847397055,0,25,13.295296167247386,24
144.0,load1.25_seed2_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,8b2fe3a8cac2ed3c6d52641d433b2d54fe76221616352322c4648a756f708b75,0,120,42.808426544070244,2525.9829865209695,1.0,0.28488372093023256,1.0,1.0,0.7656976744186047,1.0,1.25,144.0,6.0,0,0,0,P0-1,39,18,8.874418604651163,18,2880,0,60,60,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,2.05,120,26,11.903875968992248,25,e1829e256343ae7809508023332911904aba4484e9147d443daf98209f418c45,2703.0730585878096,7111.85092135643,0,24,9.764341085271317,23
144.0,load1.25_seed2_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,bccf6c38c3c00b9928076524a962dc0d9c92d416dce0f50e380f55b4d36cbd21,0,120,51.17210000753403,2159.4343001022885,0.625,0.15437158469945356,0.5,1.0,0.8656648451730419,1.0,1.25,144.0,6.0,0,0,0,P0-1,34,12,2.8105646630236794,11,2880,0,55,65,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,1.95,120,24,13.811475409836065,23,e1829e256343ae7809508023332911904aba4484e9147d443daf98209f418c45,4403.334638724725,6757.321993466467,0,22,11.297814207650273,21
144.0,load1.25_seed3_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,09660636522ba871734bcbc25eb0ab01b6d0c9797ab210f85ed2f00ef71fdc64,0,120,52.53400932997465,5036.207953132677,1.0,0.31558028616852146,1.0,1.0,0.7591414944356121,1.0,1.25,144.0,6.0,0,0,0,P0-1,35,17,9.225755166931638,17,2880,0,60,60,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,3,0.85,120,35,16.33783783783784,35,5eb5d1c2f3c07362c1375e650c1e5777711f3dd77bec4744dc32989400cc4644,5855.275079297523,18389.05665937811,0,33,14.143879173290937,33
144.0,load1.25_seed3_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,4a1ac4510771efa47aeff0ef77ff01f3fd8ce47f48abe05ac46542d1bc3486ec,0,120,42.987159453332424,4686.484640613193,0.625,0.16194158075601375,0.625,1.0,0.8359106529209622,1.0,1.25,144.0,6.0,0,0,0,P0-1,37,11,3.6323024054982818,11,2880,0,59,61,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,3,1.8,120,24,15.063573883161512,24,5eb5d1c2f3c07362c1375e650c1e5777711f3dd77bec4744dc32989400cc4644,4265.103409066796,8979.876101346066,0,23,12.692439862542955,22
172.8,load1.5_seed1_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,439d206d599012c0d1409b62d34f45ef0b617f6c48b0d36233a69ff5dab37afb,0,144,55.13344798237085,9159.117229543574,1.0,0.3211068211068211,1.0,1.0,0.7474259974259975,1.0,1.5,172.8,7.199999999999999,0,0,0,P0-1,44,23,12.332046332046332,23,3456,0,72,72,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,0.3,144,50,21.401544401544403,49,28dfe2e30df27dacc639dce27141e1e574ecf5f12658621fbf6df012bd4b282b,9123.895661491486,22260.065265331003,0,47,19.27027027027027,47
172.8,load1.5_seed1_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,1ca21534485688ddd73394ce6c3fe142de557bf68ca8e0c0f06872248d3ab267,0,144,42.69491881132126,3088.150561694056,0.75,0.1866096866096866,0.75,1.0,0.8149928774928775,1.0,1.5,172.8,7.199999999999999,0,0,0,P0-1,42,16,6.954415954415954,16,3456,0,64,80,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,1.2,144,38,19.243589743589745,38,28dfe2e30df27dacc639dce27141e1e574ecf5f12658621fbf6df012bd4b282b,6208.65159926729,11703.448019880387,0,36,16.884615384615383,36
172.8,load1.5_seed2_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,1691a128dbbf25cb066b73e2ffcdbd7659f53f51e272e604507ae8d93cdc7c68,0,144,42.79256612062454,3875.551129225636,1.0,0.32787698412698413,1.0,1.0,0.7596726190476191,1.0,1.5,172.8,7.199999999999999,0,0,0,P0-1,46,22,10.642857142857142,21,3456,0,72,72,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,1.8,144,42,17.735449735449734,41,9ebbf9a57505fb22f51cb78bc0381c6bb227b2c997598bd87d48e6bfd9cef00e,4965.187532827256,13227.459332924333,0,41,15.544973544973544,38
172.8,load1.5_seed2_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,4c6b161dd343e18e2253bec86a25f1cebc951ae561ec4d949c0ecb65fb65f800,0,144,35.93761660158634,5375.666345041241,1.0,0.23004354136429608,1.0,1.0,0.8267416545718432,1.0,1.5,172.8,7.199999999999999,0,0,0,P0-1,42,13,3.288824383164006,12,3456,0,76,68,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,1.25,144,30,18.410740203193033,29,9ebbf9a57505fb22f51cb78bc0381c6bb227b2c997598bd87d48e6bfd9cef00e,5490.180024463267,9475.636354854534,0,28,16.00725689404935,27
172.8,load1.5_seed3_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,cb14590936de6bbc5d20dfbb7a54187fd4b338d34221d3caeeb3ba2eb0dfce3a,0,144,53.44431474804878,9500.641940496851,1.0,0.3134640102827764,1.0,1.0,0.743332262210797,1.0,1.5,172.8,7.199999999999999,0,0,0,P0-1,44,19,10.615681233933161,19,3456,0,72,72,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,3,0.3,144,51,20.381105398457585,49,33f3100d94eb8b1773111a03a3b1008e94b6b55a5ae0907f696c88e9bf97473e,9525.07157747944,22214.789153130518,0,47,18.252570694087403,46
172.8,load1.5_seed3_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,7110e0e428ef7d8d86df60b512592b86b5eb03954c6f144ec40a9f010b38190a,0,144,51.02589726448059,7398.548770453707,1.0,0.2625886524822695,1.0,1.0,0.812145390070922,1.0,1.5,172.8,7.199999999999999,0,0,0,P0-1,43,28,12.107801418439717,28,3456,0,77,67,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,3,0.7,144,49,23.428368794326243,47,33f3100d94eb8b1773111a03a3b1008e94b6b55a5ae0907f696c88e9bf97473e,9415.711908394263,19161.679149210035,0,47,21.079432624113476,45
